id	productioncountries_id	movie_id
76	69	2
84	69	3
62	229	5
44	229	6
17	13	8
112	56	9
82	229	11
66	229	12
47	229	13
19	229	14
85	229	15
96	11	16
97	58	16
98	69	16
99	74	16
100	56	16
101	106	16
102	107	16
103	161	16
104	162	16
105	192	16
106	76	16
107	229	16
74	56	17
75	76	17
56	74	18
57	76	18
25	56	19
11	37	20
12	67	20
109	229	21
80	229	22
61	229	24
42	76	25
43	229	25
13	101	26
14	192	26
110	76	27
81	229	28
65	229	33
45	118	35
46	229	35
18	229	38
111	152	55
83	229	58
70	229	59
71	37	59
72	56	59
48	76	62
49	229	62
20	229	63
1	67	64
94	56	65
95	229	65
73	229	66
52	74	67
53	56	67
54	161	67
55	178	67
23	76	68
24	229	68
9	56	69
10	229	69
108	229	70
77	74	71
78	76	71
79	229	71
60	229	73
41	229	74
8	229	75
91	13	76
92	42	76
93	229	76
69	229	77
38	229	78
39	93	78
40	76	78
7	47	79
90	229	80
68	110	81
29	230	82
30	229	82
31	56	82
32	181	82
6	229	83
89	229	85
67	56	86
28	229	87
5	229	88
88	229	89
64	229	90
26	74	91
27	67	91
3	13	92
4	42	92
87	229	93
63	56	94
50	221	95
51	229	95
2	229	96
